Tarih;Sensor Adi;Sensor No;X Koordinati;Y Koordinati;ARAC TOPLAM
01.01.2022;TEM Karanfilköy;2;29.028617;41.092425;89524
01.01.2022;TEM Çakmak;4;29.122002;41.007104;169242
01.01.2022;TEM Küçükbakkalköy;5;29.106018;40.985743;120990
01.01.2022;Optimum AVM;6;29.084167;40.988017;133593
01.01.2022;D100 Göztepe;8;29.079106;40.990121;154921
01.01.2022;Çamlıca TEM-D100 Bağl. Yolu;10;29.072406;41.005797;74434
01.01.2022;TEM Arıcılar;20;28.981994;41.100210;192095
01.01.2022;TEM İstoç;22;28.821302;41.063408;186570
01.01.2022;D100 Florya;24;28.792770;40.989967;142385
01.01.2022;D100 Küçükçekmece;33;28.767118;40.986035;124936
01.01.2022;Güneşli B. Ekspres Yolu;38;28.807770;41.048592;127693
01.01.2022;D100 Ambarlı;41;28.690915;40.999795;98335
01.01.2022;Atışalanı;45;28.8551;41.0551;98501
01.01.2022;Bayrampaşa;46;28.892054;41.044859;147915
01.01.2022;Haliç Köprü Girişi-Halıcıoğlu;51;28.944950;41.048174;95790
01.01.2022;Bayrampaşa;54;28.908399;41.040315;179364
01.01.2022;TEM Gazi Mah.;58;28.8930;41.0907;166700
01.01.2022;D100 15 Temmuz Şehitler Köprüsü Avrupa Girişi;60;29.024857;41.054074;169933
01.01.2022;Ümraniye Elmalı;61;29.111094;41.066098;126596
01.01.2022;D100 Kozyatağı;66;29.101450;40.970334;129489
01.01.2022;D100 Uzunçayır;69;29.061379;40.997181;107048
01.01.2022;"D100 Gülsuyu ";70;29.152522;40.924870;69262
01.01.2022;Kavacık;72;29.083395;41.091913;166468
01.01.2022;TEM Çakmak Köprüsü;73;29.121079;41.023801;177210
01.01.2022;D100 Maltepe;75;29.140497;40.934839;130197
01.01.2022;D100 Pendik;77;29.237210;40.889364;110690
01.01.2022;D100-Altunizade;80;29.045220;41.031445;148332
01.01.2022;Ümraniye;82;29.120264;41.052005;161411
01.01.2022;TEM Çakmak Köprüsü;83;29.120768;41.017684;160463
01.01.2022;D100 Hurriyet Tepesi;85;28.986117;41.066795;96902
01.01.2022;B. Expres İs Bankası Karsısı;87;28.811005;41.032058;128792
01.01.2022;FSM Avrupa Girişi;90;29.047444;41.090744;167296
01.01.2022;FSM Anadolu Girişi;92;29.078949;41.092382;162790
01.01.2022;Kavacık Hisar Evleri;93;29.094684;41.082827;172000
01.01.2022;Ümraniye Kavşağı;95;29.121094;41.028942;134673
01.01.2022;TEM Ataşehir;97;29.136767;40.997117;149088
01.01.2022;Çamlıca Gişeler;98;29.166806;40.993660;128949
01.01.2022;Çamlıca Gişeler;99;29.180890;40.990655;123144
01.01.2022;TEM Kartal;100;29.189107;40.989811;95532
01.01.2022;D100 Acıbadem;104;29.044757;41.001772;76644
01.01.2022;D100 Küçükyalı;107;29.118563;40.952052;121630
01.01.2022;D100 Kartal Oto Sanayi;110;29.194666;40.911278;82286
01.01.2022;D100 Güzelyalı;113;29.278414;40.861352;107960
01.01.2022;Kadıköy Hasanpaşa;115;29.050968;40.995493;81445
01.01.2022;Şükrü Saraçoğlu Stadı;116;29.038589;40.989457;46295
01.01.2022;Küçükyalı Sahil Yolu;119;29.101353;40.947741;33214
01.01.2022;Kartal Sahil Yolu;121;29.167966;40.894727;32290
01.01.2022;Üsküdar Sahil Yolu;124;29.034033;41.039438;15318
01.01.2022;Altunizade Ümraniye Katılımı;127;" 29.04951";41.023083;29044
01.01.2022;Libadiye;128;29.069997;41.019906;79730
01.01.2022;Ümraniye Otopazarı;129;29.096571;41.031040;69441
01.01.2022;Ümraniye Küçüksu;130;29.111478;41.029571;124111
01.01.2022;Şile Yolu;131;29.131909;41.029330;88163
01.01.2022;Kartal Gişeler Çıkışı;133;29.211463;40.976082;43286
01.01.2022;Yakacık Bağl. Yolu;135;29.212724;40.918948;54024
01.01.2022;Soğanlık Bağl. Yolu;136;29.213230;40.908326;56433
01.01.2022;Pendik Bağl. Yolu;137;29.325738;40.925830;31798
01.01.2022;TEM Esenyurt;140;28.654985;41.061196;46103
01.01.2022;TEM Firuzköy;142;28.720065;41.054702;129491
01.01.2022;M.Bey Gişeler;144;28.786671;41.063435;119835
01.01.2022;TEM Tekstilkent İstanbul Yönü;146;28.857442;41.066960;125001
01.01.2022;TEM Hasdal 1;149;28.971070;41.100005;129244
01.01.2022;TEM Hasdal 2;150;28.965636;41.099614;125408
01.01.2022;TEM Harp Akademileri;152;29.006446;41.100045;130937
01.01.2022;Beylikdüzü;156;28.638692;41.016302;111713
01.01.2022;D100 Sefaköy;162;28.807908;41.000700;112748
01.01.2022;Yenibosna;165;28.833543;40.992732;109201
01.01.2022;Bakırköy;168;28.869113;40.996824;125428
01.01.2022;Merter;169;28.887355;41.002503;125954
01.01.2022;Tozkoparan;172;28.90474;41.01233;121186
01.01.2022;Cevizlibağ;173;28.916426;41.019591;145871
01.01.2022;D100 Topkapı Haliç Yönü;176;28.923455;41.027148;124613
01.01.2022;Havuzlu Kavşak;177;28.831499;40.963781;45849
01.01.2022;Ataköy;179;28.865933;40.976046;56027
01.01.2022;Zeytinburnu Sahil;182;28.909626;40.985177;54750
01.01.2022;Yedikule Sahil;183;28.919461;40.988399;55383
01.01.2022;Samatya Sahil;185;28.932372;40.998139;60368
01.01.2022;Kumkapı Sahil;188;28.977573;41.002195;31532
01.01.2022;Atatürk Köprüsü;192;28.967373;41.025075;96125
01.01.2022;TEM-D100 Hadımköy Bağlantı;199;28.622577;41.074494;22730
01.01.2022;D100-TEM Esenyurt Bağlantı;200;28.681475;41.023220;91131
01.01.2022;TEM-D100 Esenyurt Bağlantı;201;28.689368;41.039518;76487
01.01.2022;D100 Sahil Florya Bağlantı;202;28.799448;40.986205;22892
01.01.2022;Sahil-D100 Florya Bağlantı;203;28.804604;40.971132;35807
01.01.2022;Tepebaşı;211;28.975025;41.035470;47577
01.01.2022;Piyalepaşa;214;28.967316;41.043660;101237
01.01.2022;Piyalepaşa;216;28.968121;41.049582;74050
01.01.2022;Memorial Hast.;218;28.977706;41.065031;45521
01.01.2022;Vatan Cad.;220;28.930855;41.023201;110502
01.01.2022;Anıtmezar;222;28.922306;41.029830;70854
01.01.2022;Bayrampaşa Hali Önü;226;28.885556;41.050833;110330
01.01.2022;Yıldırım Mah. Girişi;227;28.881736;41.066964;90171
01.01.2022;Alibeyköy TEM Katılımı;237;28.958296;41.072211;10704
01.01.2022;Cendere Yolu Kültür Merkezi;239;28.971237;41.077874;26922
01.01.2022;Dolmabahçe Sahil;242;28.994606;41.036379;24718
01.01.2022;Mimar Sinan Üniversitesi Önü;243;28.988520;41.029917;27160
01.01.2022;Piyalepaşa;247;28.971494;41.056806;39705
01.01.2022;Terazidere Metro;250;28.898519;41.029425;52360
01.01.2022;"Sanayi Mah. Büyükdere Cd. ";254;29.005410;41.090627;59353
01.01.2022;4.Levent;256;29.010828;41.081359;40123
01.01.2022;"Büyükdere 1.Levent ";258;29.015483;41.073533;93806
01.01.2022;Zincirlikuyu;259;29.013387;41.067293;73824
01.01.2022;Yıldız;260;29.008883;41.053496;46121
01.01.2022;Conrad Oteli;263;29.008125;41.047781;53338
01.01.2022;Maslak Atatürk Oto Sanayi;265;29.024749;41.115626;64124
01.01.2022;Boğaziçi İmar Müdürlüğü;266;29.025112;41.136140;44030
01.01.2022;TEM Levent;268;29.021896;41.094442;130709
01.01.2022;Galata Köprüsü;270;" 28.97338";41.020734;8969
01.01.2022;Yeşilyurt;272;28.841087;40.969757;45649
01.01.2022;TEM Sultanbeyli;275;29.272807;40.966185;91745
01.01.2022;B. Ekspres Yolu;277;28.812804;41.008737;88328
01.01.2022;Göksu Evleri;279;29.088828;41.089108;30174
01.01.2022;Molla Gürani Viyadüğü;280;29.103874;41.072949;168869
01.01.2022;D100 Edirnekapı;288;28.932378;41.034829;97877
01.01.2022;D100 Türk Böbrek Vakfı Önü;290;28.877695;40.999537;126158
01.01.2022;Atışalanı;293;28.873104;41.049943;122921
01.01.2022;D100 Zincirlikuyu;301;29.011693;41.066856;100391
01.01.2022;D100 Zincirlikuyu;302;29.014473;41.064736;107264
01.01.2022;15 Temmuz Şehitler Köprüsü Yıldız Katılımı;303;29.018432;41.057702;122796
01.01.2022;D100 Haliç Köprü Çıkışı;304;28.937181;41.038693;120327
01.01.2022;D100 Mecidiyeköy B. Köprü Katılımı;305;29.005424;41.066793;139073
01.01.2022;D100 Unalan;309;29.059493;41.003622;72916
01.01.2022;D100 Küçük Çamlıca;310;29.061857;41.009566;85271
01.01.2022;D100 Acıbadem Köprüsü;311;29.056191;41.015509;136050
01.01.2022;15 Temmuz Şehitler Köprüsü Anadolu;314;29.043900;41.035517;130669
01.01.2022;TEM Küçükbakkalköy Kozyatağı Yönü;320;29.111098;40.990651;128113
01.01.2022;TEM Küçükbakkalköy Kavacık Yönü;321;29.114865;40.994200;104723
01.01.2022;TEM Ataşehir;322;29.119816;41.000785;83845
01.01.2022;TEM Çakmak;323;29.121905;41.013578;169002
01.01.2022;TEM Çavuşbaşı;326;29.121506;41.040849;155818
01.01.2022;TEM Çavuşbaşı Tır Parkı;327;29.121475;41.047701;160368
01.01.2022;TEM Elmalı;328;29.118256;41.058032;167551
01.01.2022;TEM Kavacık;329;29.097796;41.078853;171600
01.01.2022;D100 Göztepe;330;29.074916;40.992050;124053
01.01.2022;D100 Zümrüt Evler;334;29.142989;40.932237;144627
01.01.2022;D100 Gülsuyu;335;29.170057;40.919189;127178
01.01.2022;D100 Başıbüyük;336;29.129551;40.943761;124170
01.01.2022;D100 Çobançeşme;338;28.820708;40.993412;100249
01.01.2022;D100 Cennet Mah.;339;28.780198;40.985526;102636
01.01.2022;D100 Avcılar Hacı şerif;340;28.734461;40.978766;116284
01.01.2022;TEM Sultanbeyli Hamidiye;345;29.296879;40.953459;69059
01.01.2022;TEM Kurtköy;346;29.317984;40.943085;102610
01.01.2022;Sabiha Gökçen Bağlantı yolu;347;29.293064;40.873392;38672
01.01.2022;Dragos Sahil;349;29.141675;40.904403;28600
01.01.2022;TEM Mahmutbey Doğu Kavşağı Çıkışı;350;28.840620;41.062218;98749
01.01.2022;TEM Halkalı;355;28.762591;41.062226;122857
01.01.2022;TEM Bahçeşehir;356;28.694422;41.058781;116680
01.01.2022;TEM Büyükçekmece-2;359;28.583972;41.105243;37411
01.01.2022;TEM Esenyurt;360;28.670908;41.053857;47779
01.01.2022;TEM Bayrampaşa;362;28.871941;41.077665;102474
01.01.2022;"Havaalanı İski Önü ";367;28.839197;40.976609;18341
01.01.2022;Samatya 1;372;28.939568;41.002437;71485
01.01.2022;"Avcılar Çıkış D100 Karayolu ";376;28.751027;40.979811;125348
01.01.2022;O-3 Bayrampaşa;377;28.899457;41.042346;155767
01.01.2022;O-3 Esenler;378;28.882698;41.046021;133008
01.01.2022;O-3 Atışalanı;379;28.865168;41.053566;103692
01.01.2022;TEM Olimpiyat Stadı;381;28.753570;41.061165;123371
01.01.2022;TEM Altınşehir;382;28.729440;41.056435;125460
01.01.2022;TEM Esenyurt;383;28.650996;41.067240;45915
01.01.2022;TEM Büyükçekmece 1;384;28.623791;41.096118;45665
01.01.2022;TEM Celaliye 2;392;28.434980;41.051689;42921
01.01.2022;TEM Selimpaşa;394;28.392688;41.067645;41832
01.01.2022;TEM Tepekent;395;28.506775;41.070053;36524
01.01.2022;D100 Vatan Metrobüs;400;28.926587;41.032180;119955
01.01.2022;D100 Sefaköy;403;28.796893;40.997974;88699
01.01.2022;Güneşli 1 Basın Ekspres yolu;406;28.810349;41.039453;128962
01.01.2022;"İkitelli Basın Ekspres yolu ";407;28.810554;41.056482;133434
01.01.2022;"Güneşli 2 Basın Ekspres yolu ";408;28.811125;41.024099;89316
01.01.2022;TEM Milliyet Önü;409;28.844574;41.061240;102295
01.01.2022;TEM Milliyet 2 (Yaşar Ticaret Karşısı);410;28.851034;41.064636;126892
01.01.2022;TEM Tekstilkent;411;28.866209;41.071516;105904
01.01.2022;TEM Gaziosmanpaşa Toki Konutları;413;28.905424;41.090657;151342
01.01.2022;TEM Gaziosmanpaşa Tırparkı;414;28.917308;41.093155;173708
01.01.2022;TEM FSM Gişe Sahası Öncesi;417;29.033579;41.091569;88045
01.01.2022;Samatya Sahilyolu Liman;418;28.927553;40.991907;64337
01.01.2022;Mustafa Kemal Mahallesi;422;29.092995;41.009104;72948
01.01.2022;Esatpaşa Mahallesi;423;29.083225;41.009081;67364
01.01.2022;"Dudullu Kavşağı ";427;29.154430;40.995045;95496
01.01.2022;TEM Kartal;430;29.198187;40.985274;123666
01.01.2022;TEM Kartal Kavşağı;431;29.207741;40.982243;98948
01.01.2022;TEM Samandıra 1;432;29.217556;40.980266;104490
01.01.2022;TEM Samandıra 2;433;29.235885;40.975491;104323
01.01.2022;TEM Sultanbeyli 1;434;29.284354;40.959521;95453
01.01.2022;TEM Orhanlı;438;29.363427;40.905120;68679
01.01.2022;TEM Aydınlı;439;29.375069;40.886310;70000
01.01.2022;TEM Sultanbeyli 2;440;29.259225;40.971843;86242
01.01.2022;TEM Samandıra 3;441;29.246350;40.975685;94083
01.01.2022;TEM Kavacık Kavşağı;442;29.092175;41.088696;114645
01.01.2022;FSM Gişeler;443;29.040798;41.091107;70697
01.01.2022;Kemerburgaz Yolu 1;444;28.954204;41.104704;41576
01.01.2022;Kemerburgaz Yolu 2;445;28.946537;41.120835;64041
01.01.2022;Kemerburgaz Yolu 3;446;28.933163;41.134974;52923
01.01.2022;D100 Tüyap;447;28.622162;41.024246;73847
01.01.2022;D100 Selimpaşa;456;28.383848;41.052097;31071
01.01.2022;Mimarsinan;458;28.554735;41.015986;65069
01.01.2022;Levent 1;464;29.013623;41.077812;93978
01.01.2022;Harp Akademisi;468;29.011750;41.104341;119205
01.01.2022;Yeşilvadi Konutları;475;29.126178;41.027522;149274
01.01.2022;Nevzat Demir Tesisleri (BJK);477;29.139753;41.034206;117082
01.01.2022;Altunizade;480;29.046122;41.027428;121310
01.01.2022;D100 Pendik Tersane 2;488;29.272318;40.867360;61268
01.01.2022;D100 Tuzla Piyade;490;29.327159;40.834560;66154
01.01.2022;Tuzla Şifa Mahallesi;491;29.3547;40.8226;74466
01.01.2022;Kartal Uğur Mumcu Bağlantı Yolu;494;29.206618;40.929190;57886
01.01.2022;D100 Soğanlık;495;29.180311;40.916471;104439
01.01.2022;Kartal Gülsuyu;496;29.161042;40.922375;143898
01.01.2022;D100 Maltepe;497;29.134042;40.940013;145925
