Tarih;Sensor Adi;Sensor No;X Koordinati;Y Koordinati;ARAC TOPLAM
01.01.2024;TEM Karanfilköy;2;29.028617;41.092425;97461
01.01.2024;TEM Çakmak;4;29.122002;41.007104;177859
01.01.2024;TEM Küçükbakkalköy;5;29.106018;40.985743;138372
01.01.2024;Optimum AVM;6;29.084167;40.988017;141456
01.01.2024;D100 Göztepe;8;29.079106;40.990121;139794
01.01.2024;Çamlıca TEM-D100 Bağl. Yolu;10;29.072406;41.005797;86199
01.01.2024;D100 Florya;24;28.792770;40.989967;140452
01.01.2024;D100 Yıldız Katılımı;25;29.011504;41.054534;41040
01.01.2024;D100 Küçükçekmece;33;28.767118;40.986035;104601
01.01.2024;Güneşli B. Ekspres Yolu;38;28.807770;41.048592;148872
01.01.2024;D100 Ambarlı;41;28.690915;40.999795;105800
01.01.2024;Atışalanı;45;28.8551;41.0551;150048
01.01.2024;Bayrampaşa;54;28.908399;41.040315;174585
01.01.2024;TEM D100 Okmeydanı Bağl. Yolu;56;28.957666;41.060659;76320
01.01.2024;TEM Gazi Mah.;58;28.8930;41.0907;170862
01.01.2024;D100 Kozyatağı;66;29.101450;40.970334;134457
01.01.2024;D100 Uzunçayır;69;29.061379;40.997181;117285
01.01.2024;"D100 Gülsuyu ";70;29.152522;40.924870;61148
01.01.2024;Kavacık;72;29.083395;41.091913;183466
01.01.2024;TEM Çakmak Köprüsü;73;29.121079;41.023801;183570
01.01.2024;D100 Maltepe;75;29.140497;40.934839;147015
01.01.2024;D100 Pendik;77;29.237210;40.889364;118834
01.01.2024;D100-Altunizade;80;29.045220;41.031445;153297
01.01.2024;Ümraniye;82;29.120264;41.052005;145500
01.01.2024;TEM Çakmak Köprüsü;83;29.120768;41.017684;177828
01.01.2024;D100 Hurriyet Tepesi;85;28.986117;41.066795;81685
01.01.2024;B. Expres İs Bankası Karsısı;87;28.811005;41.032058;134635
01.01.2024;Kavacık Hisar Evleri;93;29.094684;41.082827;187190
01.01.2024;Ümraniye Kavşağı;95;29.121094;41.028942;146191
01.01.2024;TEM Ataşehir;97;29.136767;40.997117;164797
01.01.2024;Çamlıca Gişeler;98;29.166806;40.993660;157791
01.01.2024;Çamlıca Gişeler;99;29.180890;40.990655;152253
01.01.2024;TEM Kartal;100;29.189107;40.989811;113338
01.01.2024;D100 Acıbadem;104;29.044757;41.001772;96639
01.01.2024;D100 Küçükyalı;107;29.118563;40.952052;138386
01.01.2024;D100 Kartal Oto Sanayi;110;29.194666;40.911278;95083
01.01.2024;D100 Güzelyalı;113;29.278414;40.861352;112246
01.01.2024;Kadıköy Hasanpaşa;115;29.050968;40.995493;78169
01.01.2024;Küçükyalı Sahil Yolu;119;29.101353;40.947741;26680
01.01.2024;Kartal Sahil Yolu;121;29.167966;40.894727;30917
01.01.2024;Libadiye;128;29.069997;41.019906;86635
01.01.2024;Ümraniye Otopazarı;129;29.096571;41.031040;74319
01.01.2024;Şile Yolu;131;29.131909;41.029330;87996
