name,@lat,@lon
Aytemiz,40.8968375,29.2249513
Opet,41.0260804,28.9797859
Petrol Ofisi,41.0288378,29.0174396
Petrol Ofisi,41.1141944,29.0599219
Class Petrol,41.0001901,28.8007381
Shell,40.9989931,29.1549337
Opet,41.0550943,28.9992938
Shell Baban Petrol,41.0050371,29.0307907
Shell,41.0559400,28.9977006
Total,40.9876439,29.0870310
Shell,41.0877238,29.0177524
Total,41.0042734,28.6841172
Opet,40.9783258,29.1235487
Total,40.9835054,29.0919078
,41.2275004,28.4916451
Opet,40.8815155,29.2403352
Shell,40.8756773,29.2328762
Türkiye Petrolleri,40.8988275,29.3692152
Türkiye Petrolleri,40.9085841,29.3609713
Petrol Ofisi,41.0492898,29.0768296
Aytemiz,40.9676174,29.1026273
BP,40.9664225,29.1033193
Total,40.9661390,29.1047838
Shell,41.0370814,29.1556729
Alpet Gürpınar,40.9961049,28.6252197
,40.8358408,29.3239050
,41.1351115,28.4656276
,41.1579646,28.4545528
,41.1580163,28.4540224
Opet,41.0156405,29.0745910
Shell,41.0167626,29.0760902
Total,41.0413780,28.8322750
Shell,40.8868524,29.2399111
Shell Şenlikköy,40.9879309,28.7960684
Shell,41.0948934,27.9969010
,41.0957083,27.9997462
Opet,40.9994399,28.7135734
Shell,40.9708400,29.0835730
,41.0880723,29.3438026
Opet,41.0080248,28.8816979
Shell - Karma Grup,40.9897124,28.6651997
BP,41.0947275,29.0975854
Shell,41.0799651,29.0708251
,41.0811430,29.0770445
Kurtuluş Total,41.0446779,28.9783544
Opet,41.1175416,29.0234658
Shell,40.9373810,29.1410698
BP,41.0601831,28.6884886
BP,41.0600444,28.6880999
Best House rental of apartment,41.0501819,29.0237229
Aytemiz,41.0629440,28.9508759
Türkiye Petrolleri,41.0800851,28.7940823
Petrol Ofisi,40.8938780,29.3550994
Petrol Ofisi,41.1013130,29.2901302
Shell,41.0920655,29.2878451
Petrol Ofisi,41.0085765,29.2016649
occidental pees hotel Istanbul,41.0337252,28.9758177
Opet,40.8811477,29.2553456
Shell-Arpet Petrol,41.0079948,28.5374571
Shell,40.8892845,29.1811831
Opet Sultanbeyli,40.9612000,29.2828420
Opet Pendik,40.9093711,29.2951636
Opet Hoşdere Petrol,41.0804410,28.6526940
Opet Küçükçekmece Halkalı,41.0292155,28.8065018
Petrol Ofisi,41.0112488,29.0752818
Opet Bakırköy,40.9877235,28.8839480
Opet Beyoğlu,41.0412350,28.9672250
Opet Tuzla,40.9076681,29.3433329
Opet Bahçelievler Çobançeşme,40.9930848,28.8272163
Opet Bağcılar,41.0547206,28.8405747
Opet Ümraniye,41.0225022,29.1159204
Aytemiz,41.0582146,28.7307071
Opet,41.0231180,28.6866030
Shell,40.9053415,29.2853766
Petrol Ofisi,41.0082900,29.0230400
Opet,40.8810890,29.2323267
Petrol Ofisi,40.8912690,29.1773100
Opet Beylikdüzü,40.9977500,28.6052587
Opet Esenler Fevzi Çakmak,41.0490769,28.8768088
Opet Bağcılar,41.0477000,28.8597480
Opet Beylikdüzü,40.9898720,28.6684520
Opet Bahçelievler,41.0115506,28.8283650
Opet Kartal,40.9121080,29.1919680
Opet Esenyurt Güzelyurt,41.0065140,28.6676766
Opet Sultangazi,41.1319360,28.8269310
Petrol Ofisi,40.9067741,29.2527557
Mehmetçik Petrol,41.0324430,28.8838170
Opet Maltepe,40.9426842,29.1438714
Opet Silivri,41.0839530,28.0365840
Opet Silivri Büyükçavuşlu Rüya Petrol,41.2493765,28.0378966
Opet İkitelli,41.0603520,28.7894600
Opet Çekmeköy,41.1099340,29.3107020
Opet Bağcılar Göztepe,41.0601373,28.8410873
Opet,41.0484240,28.9849890
Opet Ümraniye,41.0079553,29.2016636
Opet Ataşehir,40.9824020,29.1061040
