ilce_adi,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,building_metric,human_impact_metric,district_key,population,building_per_10k
ADALAR,413,743,1894,1842,76,61,217,378,3,5,8,3115,1156,137,ADALAR,16979.0,680.8410389304435
ARNAVUTKÖY,41,243,1704,4950,0,0,34,179,7,9,17,5815,284,0,ARNAVUTKOY,344868.0,8.23503485391512
ATAŞEHİR,123,471,2756,6833,89,47,330,755,6,7,18,14702,594,136,ATASEHIR,414866.0,14.317876133498528
AVCILAR,233,1261,5545,9285,465,239,1385,2799,19,22,54,34941,1494,704,AVCILAR,440934.0,33.88262188899019
BAHÇELİEVLER,796,1490,5668,9686,1633,879,4261,7599,17,21,52,61199,2286,2512,BAHCELIEVLER,560086.0,40.815160528918774
BAKIRKÖY,782,1306,3394,3939,1046,581,2701,4610,15,17,48,28910,2088,1627,BAKIRKOY,219893.0,94.95527370130017
BAYRAMPAŞA,614,1182,4059,7415,520,340,1394,2529,5,8,19,23064,1796,860,BAYRAMPASA,268303.0,66.93924406361465
BAĞCILAR,796,1825,8001,15397,1179,652,3148,5869,16,20,52,59513,2621,1831,BAGCILAR,713594.0,36.729568914536834
BAŞAKŞEHİR,115,575,2977,6243,71,45,287,670,6,9,20,13397,690,116,BASAKSEHIR,520467.0,13.257324671881214
BEYKOZ,113,443,2756,7356,25,16,112,284,6,6,13,5937,556,41,BEYKOZ,245440.0,22.653194263363755
BEYLİKDÜZÜ,321,950,3004,4331,527,276,1456,2655,21,32,72,26670,1271,803,BEYLIKDUZU,415290.0,30.605119314214164
BEYOĞLU,410,841,3132,7158,217,150,609,1141,3,5,12,10295,1251,367,BEYOGLU,216688.0,57.73277708041054
BEŞİKTAŞ,64,187,1053,3241,26,14,99,240,2,2,6,4096,251,40,BESIKTAS,167264.0,15.006217715706907
BÜYÜKÇEKMECE,439,1635,6622,9367,288,154,885,1754,26,33,54,24298,2074,442,BUYUKCEKMECE,280528.0,73.93201391661438
ESENLER,391,813,3739,8302,638,352,1687,3133,6,7,20,29747,1204,990,ESENLER,423625.0,28.421363233992327
ESENYURT,563,1768,7911,14672,1003,543,2789,5441,24,28,63,67410,2331,1546,ESENYURT,988369.0,23.584309099132003
EYÜP,300,841,3794,8237,168,110,525,1080,6,9,20,16067,1141,278,EYUP,392029.5,29.104952560967988
FATİH,2083,3496,9949,15758,1484,985,3897,6767,11,18,43,46784,5579,2469,FATIH,354472.0,157.3890180324539
GAZİOSMANPAŞA,129,403,2276,6969,140,83,418,898,3,4,10,13963,532,223,GAZIOSMANPASA,479931.0,11.08492679155962
GÜNGÖREN,342,611,2407,4597,754,415,1965,3496,7,9,24,27478,953,1169,GUNGOREN,264831.0,35.98521321144428
KADIKÖY,208,505,2426,6717,190,93,592,1135,6,7,19,13585,713,283,KADIKOY,462189.0,15.42658955535506
KARTAL,199,593,3282,8173,176,87,553,1148,7,8,22,18189,792,263,KARTAL,475859.0,16.643585599936117
KAĞITHANE,94,275,1727,5816,84,44,275,601,3,4,10,9908,369,128,KAGITHANE,444820.0,8.29549031068747
KÜÇÜKÇEKMECE,1240,2616,8978,13799,1515,925,4079,7413,21,25,63,72774,3856,2440,KUCUKCEKMECE,789033.0,48.86994587045155
MALTEPE,237,690,3388,8156,234,130,706,1438,8,10,22,20102,927,364,MALTEPE,524921.0,17.659800236607033
PENDİK,274,1041,5625,13449,195,101,707,1566,13,16,35,28281,1315,296,PENDIK,749356.0,17.54840156080688
SANCAKTEPE,84,416,2539,6733,48,24,216,574,6,8,19,12967,500,72,SANCAKTEPE,502077.0,9.958631843322838
SARIYER,102,365,2486,6977,33,21,141,341,5,6,11,6616,467,54,SARIYER,342582.0,13.631772831030235
SULTANBEYLİ,109,648,3949,8225,73,38,300,756,7,9,22,16635,757,111,SULTANBEYLI,369193.0,20.50418074015488
SULTANGAZİ,61,245,1804,6884,57,27,217,556,3,4,11,10524,306,84,SULTANGAZI,532601.0,5.745389137459374
SİLİVRİ,444,1707,7155,11997,58,27,246,566,21,29,36,13481,2151,85,SILIVRI,232156.0,92.65321594100519
TUZLA,446,1370,5310,8239,268,169,808,1565,14,19,48,21417,1816,437,TUZLA,301400.0,60.252156602521566
ZEYTİNBURNU,510,1025,3799,6335,668,374,1767,3206,8,11,30,31030,1535,1042,ZEYTINBURNU,278344.0,55.14758715833645
ÇATALCA,63,301,1656,4053,4,2,25,67,4,7,13,1933,364,6,CATALCA,80399.0,45.27419495267354
ÇEKMEKÖY,16,113,998,3392,1,0,18,109,3,4,7,3922,129,1,CEKMEKOY,306739.0,4.2055297826490925
ÜMRANİYE,105,534,3626,10656,42,17,250,704,7,10,23,16345,639,59,UMRANIYE,727819.0,8.779655381351683
ÜSKÜDAR,146,493,3341,9610,95,42,365,849,6,6,15,15087,639,137,USKUDAR,512981.0,12.456601706495952
ŞİLE,22,106,774,2402,0,0,0,1,3,5,6,876,128,0,SILE,48936.0,26.156612718652934
ŞİŞLİ,68,207,1008,4333,55,27,172,368,2,2,5,4845,275,82,SISLI,263063.0,10.453769629328336
