location_id,district,latitude,longitude,geology_unit,soil_class,ground_type,amplification_score,hazard_score,historical_eq_density,population,building_metric,composite_risk_score
IST_001,ADALAR,40.8741659,29.1293251,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,99.99999999979042,5.489529823771872,76,16979.0,1156,51.93307960776043
IST_002,ARNAVUTKÖY,41.184471,28.7412446,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,0.7218779941591171,0.0,4,344868.0,284,6.233115386668167
IST_003,ATAŞEHİR,40.9929379,29.1135187,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.99673635769406,5.449460263014414,11,414866.0,594,11.15231205468786
IST_004,AVCILAR,40.9799389,28.7216689,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,6.097168805362911,28.20897077325108,26,440934.0,1494,23.330433477406622
IST_005,BAHÇELİEVLER,41.0030495,28.8657701,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,7.550109044870098,99.99999999995994,20,560086.0,2286,44.367534416576724
IST_006,BAKIRKÖY,40.9782585,28.8744461,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,18.896940715820055,65.19317535238567,27,219893.0,2088,34.72440388709101
IST_007,BAYRAMPAŞA,41.0345549,28.9118417,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,13.02526528405664,34.45982225141467,13,268303.0,1796,22.647385710455595
IST_008,BAĞCILAR,41.034547,28.8567558,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,6.6938396799163975,73.36736574690728,14,713594.0,2621,39.62088948686051
IST_009,BAŞAKŞEHİR,41.1075794,28.7950711,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.7744631076357196,4.648069047865235,7,520467.0,690,12.13818929746751
IST_010,BEYKOZ,41.1343001,29.0920378,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,3.7436749250786248,1.642851991055816,7,245440.0,556,7.12730680218289
IST_011,BEYLİKDÜZÜ,41.0037541,28.6372583,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,5.4102609317373345,32.17585728823951,12,415290.0,1271,20.629731903195083
IST_012,BEYOĞLU,41.0284233,28.9736808,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,11.09574897865176,14.705528797987425,9,216688.0,1251,14.291732354571419
IST_013,BEŞİKTAŞ,41.0428465,29.0075283,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,2.1410008523131485,1.6027824302983569,9,167264.0,251,4.957642434073173
IST_014,BÜYÜKÇEKMECE,41.021654,28.579757,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,14.490828944462107,17.710745854796844,6,280528.0,2074,18.48446342719748
IST_015,ESENLER,41.0376175,28.8824519,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,4.95258341315152,39.66886514988433,14,423625.0,1204,22.709124790697043
IST_016,ESENYURT,41.0342862,28.6801113,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,3.938820496240381,61.9475409310315,9,988369.0,2331,37.664767530447925
IST_017,EYÜP,41.0478358,28.9327383,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,5.095851917237464,11.13933789057358,11,392029.5,1141,14.412317166766158
IST_018,FATİH,41.0192846,28.9479296,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,31.981974085756146,98.93174551016608,11,354472.0,5579,53.02147498961784
IST_019,GAZİOSMANPAŞA,41.0578305,28.9122452,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.319166071372554,8.93551204891334,11,479931.0,532,12.762068376823205
IST_020,GÜNGÖREN,41.0252832,28.8726498,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,6.537835594010434,46.84131652546948,16,264831.0,953,22.202232759603483
IST_021,KADIKÖY,40.9912955,29.0245631,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,2.229103521927227,11.339685694360876,13,462189.0,713,14.122294351325657
IST_022,KARTAL,40.88858,29.1856536,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,2.4841648517420607,10.538294479211697,54,475859.0,792,21.880692368527487
IST_023,KAĞITHANE,41.0796544,28.9731198,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,0.7345484126601293,5.1289037769547425,8,444820.0,369,10.123032037510013
IST_024,KÜÇÜKÇEKMECE,40.9918737,28.7711956,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,9.238252790063298,97.76972824819977,31,789033.0,3856,53.5663720030455
IST_025,MALTEPE,40.9247539,29.1310782,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,2.697145869848663,14.585320115715048,34,524921.0,927,20.43625566252944
IST_026,PENDİK,40.8768715,29.2349672,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,2.6737986334170274,11.860589984207841,58,749356.0,1315,28.740617134330154
IST_027,SANCAKTEPE,40.9905196,29.2288624,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.0831141231840988,2.8850083745370423,15,502077.0,500,12.205134214609245
IST_028,SARIYER,41.1685803,29.0572623,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.852940967809984,2.1637562809027817,7,342582.0,467,8.059472487417349
IST_029,SULTANBEYLİ,40.9670242,29.2671314,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,3.2932788457648203,4.447721244077941,13,369193.0,757,11.284628165524012
IST_030,SULTANGAZİ,41.1043344,28.8614367,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,0.20009129646643514,3.3658431036265495,9,532601.0,306,11.03644596874742
IST_031,SİLİVRİ,41.0742476,28.2481709,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,18.414469210455778,3.4059126643840085,3,232156.0,2151,15.07404601339928
IST_032,TUZLA,40.8161732,29.3034194,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,11.623767367930178,17.51039805100955,90,301400.0,1816,31.587525750952906
IST_033,ZEYTİNBURNU,40.9898653,28.9037467,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,10.553937867363299,41.752482309272196,21,278344.0,1535,24.689924844338936
IST_034,ÇATALCA,41.1436804,28.4605154,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,8.484645566066867,0.24041736454475354,2,80399.0,364,4.391594350118258
IST_035,ÇEKMEKÖY,41.0351579,29.1739149,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,0.0,0.040069560757458926,12,306739.0,129,6.478009173420482
IST_036,ÜMRANİYE,41.0256362,29.0963049,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,0.8360210405485939,2.3641040846900765,11,727819.0,639,15.38185496380861
IST_037,ÜSKÜDAR,41.0265498,29.0151321,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.606645418109253,5.489529823771872,10,512981.0,639,12.60316012978429
IST_038,ŞİLE,41.1744067,29.6125216,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,4.477930861310116,0.0,6,48936.0,128,2.5634470733065666
IST_039,ŞİŞLİ,41.0637891,28.9831642,Not yet digitized from IBB microzonation legend,Not yet digitized from IBB microzonation legend,Proxy from IBB scenario severe-damage rate,1.186886442496451,3.285703982111632,8,263063.0,275,6.538686765519012
